username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Marhietta_;2019-02-22 06:17;0;0;"# AvalanchaHumanitaria # 23f # VamosBien Diputado español no corrupto y que defiende medidas que benefician al trabajador y no a las élites corruptas; lo que no te cuentan sobre # venezuela https://twitter.com/CervantesFAQs/status/1097986441227964416?s=20 …";;;# # # #;"1098904614047494145";https://twitter.com/Marhietta_/status/1098904614047494145
Marhietta_;2019-02-22 06:15;0;0;"# AvalanchaHumanitaria # venezuela # 23f # vamosbien ' Cuando se parte de un análisis equivocado..se puede llegar a conclusiones equivocadas;el conflicto político y social venezolano tiene como razón última la inmensa riqueza que atesora esta nación'https://albertonews.com/nacionales/para-zapatero-una-resolucion-por-la-via-de-la-fuerza-seria-una-catastrofe-para-venezuela/ …";;;# # # #;"1098904178062225408";https://twitter.com/Marhietta_/status/1098904178062225408
beatrizbecerrab;2019-02-22 06:11;949;1557;"Mañana # 23F estaré de nuevo con los venezolanos. Desde # Madrid, acompañando la hoja de ruta de @ jguaido, inexorablemente constitucional y democrática. Y apoyando como representante europea la entrada de # AyudaHumanitaria, de forma pacífica y comprometida, como quiere # Venezuela pic.twitter.com/5hTkkSyWGR";;@;# # # #;"1098903039002505221";https://twitter.com/beatrizbecerrab/status/1098903039002505221
sofibarrantes_;2019-02-22 06:09;1;2;""No hace sentido defender a # Maduro por una intervención hipotética de # EEUU cuando # Venezuela es un país intervenido por Cuba". Análisis histórico de Joaquín Villalobos para entender lo que podría pasar el # 23F en Venezuela vía @ elpais_americahttps://elpais.com/internacional/2019/02/20/america/1550691005_971416.html …";;@;# # # #;"1098902551167201280";https://twitter.com/sofibarrantes_/status/1098902551167201280
C_dPaz;2019-02-22 06:00;5;3;""Guaidó pretende forzar una quiebra de lealtad dentro de las fuerzas armadas con el envío de las ayudas, una prioridad para los sectores más vulnerables de la población venezolana." @ Maoliscastro explica lo que puede pasar el # 23F en # Venezuela http://bit.ly/2GFvBF7 # Actualidadpic.twitter.com/HvMOtxehTc";;@;# # #;"1098900205804666880";https://twitter.com/C_dPaz/status/1098900205804666880
maurimv12;2019-02-22 05:43;0;2;"# 23F el # Usurpador pretende aislarnos del mundo cerrando fronteras ! Sin darse cuenta que el aislado es el. El mundo lo rechaza el pueblo grita q se vaya y dios nos acompaña ! Días decisivos participa sé protagonista de la libertad de # Venezuela . # VenezuelaAidLive # VamosBien";;;# # # # #;"1098896078374608900";https://twitter.com/maurimv12/status/1098896078374608900
FTT_np;2019-02-22 04:46;5;5;"Join # Vancouver # Canada events for No War on Venezuela @ NoWaronVE International Day of Action February 23! # Venezuela # 23F # TrumpHandsOffVenezuela # HandsOffVenezuela # VenezuelaNoEstáSola # vanpoli # cdnpoli @ ConsuladoVenVan @ EmbaVenezCanada @ VenezuelaInUS - https://mailchi.mp/e42c37bb4fba/international-day-action-for-venezuela-february-23 …pic.twitter.com/3Uz4FqLvsw";;@ @ @ @;# # # # # # # # #;"1098881769049346049";https://twitter.com/FTT_np/status/1098881769049346049
ylmartinez;2019-02-22 04:06;2;3;"# SIoSI # 23F # Venezuela # 23FNoHayVuelyaAtras # AyudaHumanitaria en busca de un equipo dinámico, divertido, guerrero, valiente, sin miedo, aguerrido, que vaya saliendo directo a # Cúcuta a recibir la # AyudaHumanitaria Ah! Y que tenga un puesto disponible para mipic.twitter.com/pf5VjMdEHw";;;# # # # # # #;"1098871665528848386";https://twitter.com/ylmartinez/status/1098871665528848386
MARLONFUTBOL;2019-02-22 03:57;0;2;"Quedara en la historia que favor con favor se paga. hace mas de 200 años un venezolano batallo por la independencia de sus vecinos y hoy desde tierras colombianas nace un movimiento de libertad contra una dictadura. ADELANTE PUEBLO VENEZOLANO # 23FNoHayVueltaAtras # Venezuela # 23F";;;# # #;"1098869432024289280";https://twitter.com/MARLONFUTBOL/status/1098869432024289280
magalysuarez25;2019-02-22 02:49;6;5;"Este sábado 23 de febrero desde # BILBAO estaremos presentes en la MANIFESTACIÓN MUNDIAL por la entrada de ayuda humanitaria en nuestras fronteras. Acompáñanos con franela blanca. Todos juntos por Venezuela. # 23F # VenezolanosEnBilbao # Bilbao # Venezuela @ eitbNoticias @ Tele7Noticiaspic.twitter.com/4LUcsZ3pY2";;@ @;# # # # #;"1098852137881210881";https://twitter.com/magalysuarez25/status/1098852137881210881
YiriColona;2019-02-22 02:39;0;0;"No paguemos mal por mal. Pidamos que la primera # AyudaHumanitaria que entre sea para Maduro y su Gente. Seamos conscientes. # 23F # Libertad # Venezuela # SantaBarbaraDeZulia # GuaidoPresidente… https://www.instagram.com/p/BuLQ5LtgETT/?utm_source=ig_twitter_share&igshid=q1w2fr4j5mwy …";;;# # # # # #;"1098849796519948288";https://twitter.com/YiriColona/status/1098849796519948288
SOSnicaragua11;2019-02-22 02:30;1;2;"# 23F # AyudaHumanitaria # Venezuela # madurousurpador # fanb pic.twitter.com/U8skWAL4pC # MaduroUsurpador";;;# # # # # #;"1098847470937870337";https://twitter.com/SOSnicaragua11/status/1098847470937870337
NinaWorksToo;2019-02-22 02:09;0;0;"https://youtu.be/uxYYkjSN-gY # 23FNoHayVueltaAtras # 23F # LaRectaFinal # VENEZUELA";;;# # # #;"1098842170297962496";https://twitter.com/NinaWorksToo/status/1098842170297962496
NinaWorksToo;2019-02-22 01:56;0;0;"Simon Bolivar's great speech of freedom https://youtu.be/uxYYkjSN-gY  via @ YouTube Vamos Venezuela, por la libertad! # 23F # 23FNoHayVueltaAtras # LaRectaFinal # VENEZUELA";;@;# # # #;"1098839035382968320";https://twitter.com/NinaWorksToo/status/1098839035382968320
