,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,retweet,clean_text,language,sentiment
31,alexascarpita,2016-06-09 16:38,0,0,RT NoticiasVenezue: # 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía aarondiazve pic.twitter.com/An097PjVui,,,# #,7.410064914827715e+17,https://twitter.com/alexascarpita/status/741006491482771457,RT NoticiasVenezue: # 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía aarondiazve pic.twitter.com/An097PjVui,RT NoticiasVenezue   4 21pm  Saqueos ahora mismo  Caracas Vía aarondiazve ,es,0.5979199409484863
32,AnayansyMijares,2016-06-09 16:34,51,4,# 9J 4:09pm. Caos en # ElLlanito se solto el moño los colectivos atracando y disparando a ciudadanos ¿TSJ? https://twitter.com/VVperiodistas/status/740999865719742464/video/1 …,,,# #,7.41005632564822e+17,https://twitter.com/AnayansyMijares/status/741005632564822018,# 9J 4:09pm. Caos en # ElLlanito se solto el moño los colectivos atracando y disparando a ciudadanos ¿TSJ? https://twitter.com/VVperiodistas/status/740999865719742464/video/1 …, 4 09pm  Caos en  se solto el moño los colectivos atracando y disparando a ciudadanos  TSJ  ,es,0.49547943472862244
33,NoticiasVenezue,2016-06-09 16:34,192,16,# 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía @ aarondiazvepic.twitter.com/jMnOg8z64b,,@,# #,7.410055581200589e+17,https://twitter.com/NoticiasVenezue/status/741005558120058882,# 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía @ aarondiazvepic.twitter.com/jMnOg8z64b, 4 21pm  Saqueos ahora mismo  Caracas Vía ,es,0.5979199409484863
34,aarondiazve,2016-06-09 16:26,80,11,[VIDEO] 4:21pm # ElLlanito 9-6-2016 Saqueos ahora mismo. Caracas (Resguardo la fuente del Vídeo). HAZ RT pic.twitter.com/iL1lyvOgU2,,,#,7.410036457439764e+17,https://twitter.com/aarondiazve/status/741003645743976448,[VIDEO] 4:21pm # ElLlanito 9-6-2016 Saqueos ahora mismo. Caracas (Resguardo la fuente del Vídeo). HAZ RT pic.twitter.com/iL1lyvOgU2, VIDEO  4 21pm  9 6 2016 Saqueos ahora mismo  Caracas  Resguardo la fuente del Vídeo   HAZ RT ,es,0.7014421820640564
35,Jon_Dias_,2016-06-09 16:24,145,24,9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/ewKwSruYBC,,,# #,7.410030242403492e+17,https://twitter.com/Jon_Dias_/status/741003024240349184,9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/ewKwSruYBC,9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.34509050846099854
36,YourAnonVzla,2016-06-09 16:17,371,27,# Petare # 9Jun GNB Dispara Al Aire Para Dispersar El Intento de saqueo en la Av. Tamanaco de # ElLlanito pic.twitter.com/vdUcWhsaBu,,,# # #,7.410012532205814e+17,https://twitter.com/YourAnonVzla/status/741001253220581376,# Petare # 9Jun GNB Dispara Al Aire Para Dispersar El Intento de saqueo en la Av. Tamanaco de # ElLlanito pic.twitter.com/vdUcWhsaBu,  GNB Dispara Al Aire Para Dispersar El Intento de saqueo en la Av  Tamanaco de  ,es,0.4301412105560303
37,aj3401,2016-06-09 16:16,0,0,"intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petare y # nicolas en cadena nacionalhttps://twitter.com/AlejoRuiz22/status/740999560953270272 …",,,# # #,7.410009201803592e+17,https://twitter.com/aj3401/status/741000920180359169,"intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petare y # nicolas en cadena nacionalhttps://twitter.com/AlejoRuiz22/status/740999560953270272 …",intento de saqueo en la Av  Tamanaco de  4 02 pm 9 de junio 2016  y  en cadena nacional,es,0.43192633986473083
38,Larrymusica,2016-06-09 16:15,0,0,"Retweeted Alejandro Ruiz Gomez ( @ AlejoRuiz22): Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de... http://fb.me/5ZoUknVng",,@,#,7.410008957274358e+17,https://twitter.com/Larrymusica/status/741000895727435776," Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de... http://fb.me/5ZoUknVng", Intento de saqueo en la Av  Tamanaco de  4 02 pm 9 de    ,es,0.4241766333580017
39,Con_Fe350,2016-06-09 16:15,70,3,"# 9Jun ATENCION Intento d saqueo en la Av. Tamanaco d # ElLlanito, 4:02pm # Petare pic.twitter.com/wg7biH6alE via @ AlejoRuiz22 @ jesusmedinae",,@ @,# # #,7.410006823507272e+17,https://twitter.com/Con_Fe350/status/741000682350727168,"# 9Jun ATENCION Intento d saqueo en la Av. Tamanaco d # ElLlanito, 4:02pm # Petare pic.twitter.com/wg7biH6alE via @ AlejoRuiz22 @ jesusmedinae", ATENCION Intento d saqueo en la Av  Tamanaco d  4 02pm  ,es,0.4521259665489197
40,AlejoRuiz22,2016-06-09 16:10,247,25,"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petarepic.twitter.com/nhzuRYu4vR",,,# #,7.409995609532703e+17,https://twitter.com/AlejoRuiz22/status/740999560953270272,"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petarepic.twitter.com/nhzuRYu4vR",Intento de saqueo en la Av  Tamanaco de  4 02 pm 9 de junio 2016 ,es,0.4241766333580017
41,josepim25589387,2016-06-09 15:01,0,0,RT @ LLORAZUELA RT @ LLORAZUELA: SE REBELO CARACAS # COTIZA # PETARE # GUARENASPETARE # ELLLANITO # CATIA # VALLES DEL TUY # VALENCIA,,@ @,# # # # # # #,7.40982120823296e+17,https://twitter.com/josepim25589387/status/740982120823296001,RT @ LLORAZUELA RT @ LLORAZUELA: SE REBELO CARACAS # COTIZA # PETARE # GUARENASPETARE # ELLLANITO # CATIA # VALLES DEL TUY # VALENCIA,RT  RT  SE REBELO CARACAS       DEL TUY ,es,0.4852687120437622
